Species	all	Group	Prevalence
Sphaerotilus microaerophilus	9.51952723535457	ASD	9.48098663926002
Piscinibacter sp. XHJ-5	9.2497430626927	ASD	9.37821171634121
Sphaerotilus sulfidivorans	9.01849948612539	ASD	9.04419321685509
Paracidovorax avenae	8.82579650565262	ASD	8.96711202466598
Treponema pallidum	8.80010277492292	ASD	8.01644398766701
Alicycliphilus denitrificans	8.5431654676259	ASD	8.65878725590956
Paraburkholderia pallida	8.14491264131552	ASD	7.96505652620761
Paraburkholderia phytofirmans	8.05498458376156	ASD	7.8365878725591
Paraburkholderia sp. IMGN 8	7.73381294964029	ASD	7.63103802672148
Rhodoferax koreense	7.73381294964029	ASD	7.81089414182939
Comamonas aquatica	7.59249743062693	ASD	7.52826310380267
Paraburkholderia aromaticivorans	7.45118191161357	ASD	7.21993833504625
Paraburkholderia tropica	7.43833504624872	ASD	7.24563206577595
Paraburkholderia acidiphila	7.05292908530319	ASD	6.65467625899281
Delftia tsuruhatensis	6.34635149023638	ASD	6.68036998972251
Cutibacterium acnes	6.28211716341213	ASD	6.5262076053443
Paraburkholderia acidisoli	6.28211716341213	ASD	6.06372045220966
Delftia acidovorans	6.23072970195272	ASD	6.5262076053443
Shinella sumterensis	6.17934224049332	ASD	5.34429599177801
Microbacterium sp. AZCO	6.02517985611511	ASD	6.21788283658787
Paraburkholderia caribensis	5.70400822199383	ASD	5.65262076053443
Cupriavidus basilensis	5.39568345323741	ASD	5.2929085303186
Klebsiella michiganensis	4.5863309352518	ASD	5.72970195272354
Comamonas terrigena	4.47070914696814	ASD	4.52209660842754
Pseudoalteromonas sp. 3J6	4.38078108941418	ASD	1.77286742034943
Paraburkholderia sp. SOS3	4.31654676258993	ASD	4.21377183967112
Chlamydia psittaci	3.75128468653649	ASD	3.44295991778006
Yersinia enterocolitica	3.69989722507708	ASD	3.05755395683453
Cupriavidus metallidurans	3.31449126413155	ASD	3.46865364850976
Agrobacterium tumefaciens	3.2502569373073	ASD	3.28879753340185
Sphaerotilus microaerophilus	9.51952723535457	NT	9.55806783144913
Piscinibacter sp. XHJ-5	9.2497430626927	NT	9.12127440904419
Sphaerotilus sulfidivorans	9.01849948612539	NT	8.99280575539568
Paracidovorax avenae	8.82579650565262	NT	8.68448098663926
Treponema pallidum	8.80010277492292	NT	9.58376156217883
Alicycliphilus denitrificans	8.5431654676259	NT	8.42754367934224
Paraburkholderia pallida	8.14491264131552	NT	8.32476875642343
Paraburkholderia phytofirmans	8.05498458376156	NT	8.27338129496403
Paraburkholderia sp. IMGN 8	7.73381294964029	NT	7.8365878725591
Rhodoferax koreense	7.73381294964029	NT	7.65673175745118
Comamonas aquatica	7.59249743062693	NT	7.65673175745118
Paraburkholderia aromaticivorans	7.45118191161357	NT	7.68242548818088
Paraburkholderia tropica	7.43833504624872	NT	7.63103802672148
Paraburkholderia acidiphila	7.05292908530319	NT	7.45118191161357
Delftia tsuruhatensis	6.34635149023638	NT	6.01233299075026
Cutibacterium acnes	6.28211716341213	NT	6.03802672147996
Paraburkholderia acidisoli	6.28211716341213	NT	6.50051387461459
Delftia acidovorans	6.23072970195272	NT	5.93525179856115
Shinella sumterensis	6.17934224049332	NT	7.01438848920863
Microbacterium sp. AZCO	6.02517985611511	NT	5.83247687564234
Paraburkholderia caribensis	5.70400822199383	NT	5.75539568345324
Cupriavidus basilensis	5.39568345323741	NT	5.49845837615622
Klebsiella michiganensis	4.5863309352518	NT	3.44295991778006
Comamonas terrigena	4.47070914696814	NT	4.41932168550874
Pseudoalteromonas sp. 3J6	4.38078108941418	NT	6.98869475847893
Paraburkholderia sp. SOS3	4.31654676258993	NT	4.41932168550874
Chlamydia psittaci	3.75128468653649	NT	4.05960945529291
Yersinia enterocolitica	3.69989722507708	NT	4.34224049331963
Cupriavidus metallidurans	3.31449126413155	NT	3.16032887975334
Agrobacterium tumefaciens	3.2502569373073	NT	3.21171634121274
